task,family,variant,base,mutation_target,model,trial,outcome_kind,analysis_status,behavioral,requirement_fidelity,full_contract,target_pass,non_target_fidelity,import_ok,resource_eligible,secs,prompt_bytes,prompt_chars,prompt_lines,first_prompt_tokens,first_cached_tokens,first_completion_tokens,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,total_tokens,api_calls,tool_calls,request_retries,agent_attempts,cost_usd,note
tokenquota_ceiling,tokenquota,ceiling,false,R4,minimax-m3,2,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,48.45479838,2330,2300,38,1590,1536,38,63011,52352,10659,4005,67016,14,15,0,1,0.01114482,
tokenquota_ceiling,tokenquota,ceiling,false,R4,minimax-m3,3,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,30.472086732,2330,2300,38,1590,896,39,27125,17280,9845,2929,30054,8,10,0,1,0.007505100000000001,
tokenquota_ceiling,tokenquota,ceiling,false,R4,qwen3.7-max,1,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,219.378676049,2330,2300,38,1555,0,3700,19776,8320,11456,11415,31191,6,6,0,1,0.05816625,
tokenquota_ceiling,tokenquota,ceiling,false,R4,qwen3.7-max,2,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,false,178.635051824,2330,2300,38,1555,0,2215,19412,10496,8916,9099,28511,6,6,2,1,0.04657825,
tokenquota_ceiling,tokenquota,ceiling,false,R4,qwen3.7-max,3,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,189.025087409,2330,2300,38,1555,0,1093,17746,6144,11602,10023,27769,6,7,0,1,0.05285675,
tokenquota_floor,tokenquota,floor,false,R4,glm-5.2,1,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,130.854874362,2305,2275,38,1317,1280,20,99747,59008,40739,14723,114470,6,7,0,1,0.13715788,
tokenquota_floor,tokenquota,floor,false,R4,glm-5.2,2,completed,graded,true,0.6,false,1.0,0.5555555555555556,true,true,340.050997627,2305,2275,38,1317,704,50,646940,582528,64412,64593,711533,13,13,0,1,0.52584328,
tokenquota_floor,tokenquota,floor,false,R4,glm-5.2,3,completed,graded,true,0.6,false,1.0,0.5555555555555556,true,true,193.686527737,2305,2275,38,1317,0,15,136307,87936,48371,16211,152518,11,11,0,1,0.16191116,
tokenquota_floor,tokenquota,floor,false,R4,minimax-m3,1,completed,graded,true,0.0,false,0.0,0.0,true,true,29.210011141,2305,2275,38,1587,896,35,13717,8320,5397,2379,16096,5,7,0,1,0.004973099999999999,
tokenquota_floor,tokenquota,floor,false,R4,minimax-m3,2,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,38.980864367,2305,2275,38,1587,896,38,29552,18176,11376,3777,33329,8,9,0,1,0.009035759999999999,
tokenquota_floor,tokenquota,floor,false,R4,minimax-m3,3,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,55.628763708,2305,2275,38,1587,0,46,21165,9216,11949,2739,23904,7,8,0,1,0.007424459999999999,
tokenquota_floor,tokenquota,floor,false,R4,qwen3.7-max,1,completed,graded,true,0.4,false,1.0,0.3333333333333333,true,true,196.764618409,2305,2275,38,1552,0,2427,23151,12544,10607,10435,33586,7,7,0,1,0.053958,
tokenquota_floor,tokenquota,floor,false,R4,qwen3.7-max,2,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,true,232.773094111,2305,2275,38,1552,0,3279,20079,8320,11759,12365,32444,7,7,0,1,0.0621075,
tokenquota_floor,tokenquota,floor,false,R4,qwen3.7-max,3,completed,graded,true,0.8,false,1.0,0.7777777777777778,true,false,199.011137743,2305,2275,38,1552,0,2639,18893,8320,10573,10119,29012,6,6,3,1,0.0522025,
wirecodec_base,wirecodec,base,true,R6,glm-5.2,1,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,true,330.724363938,2936,2896,57,1557,704,21,115051,111424,3627,19634,134685,8,8,0,1,0.12043764000000001,
wirecodec_base,wirecodec,base,true,R6,glm-5.2,2,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,true,141.956923494,2936,2896,57,1557,0,19,52273,48128,4145,15964,68237,5,5,0,1,0.08855788,
wirecodec_base,wirecodec,base,true,R6,glm-5.2,3,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,168.380296707,2936,2896,57,1557,704,9665,52288,40768,11520,12918,65206,5,7,0,1,0.08356688000000001,
wirecodec_base,wirecodec,base,true,R6,minimax-m3,1,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,37.982030742,2936,2896,57,1828,896,46,25078,14720,10358,2904,27982,7,8,0,1,0.007475399999999999,
wirecodec_base,wirecodec,base,true,R6,minimax-m3,2,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,32.266986825,2936,2896,57,1828,896,46,16329,10240,6089,3111,19440,5,6,0,1,0.006174299999999999,
wirecodec_base,wirecodec,base,true,R6,minimax-m3,3,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,63.981445089,2936,2896,57,1828,0,38,42592,26752,15840,3969,46561,10,11,0,1,0.01111992,
wirecodec_base,wirecodec,base,true,R6,qwen3.7-max,1,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,true,113.922604903,2936,2896,57,1804,0,748,24054,8320,15734,5829,29883,7,7,0,1,0.04256625,
wirecodec_base,wirecodec,base,true,R6,qwen3.7-max,2,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,119.212040639,2936,2896,57,1804,0,844,16137,4096,12041,6235,22372,5,5,0,1,0.0389445,
wirecodec_base,wirecodec,base,true,R6,qwen3.7-max,3,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,false,124.546794279,2936,2896,57,1804,0,476,24787,8320,16467,6127,30914,7,7,2,1,0.0446,
wirecodec_preserve,wirecodec,preserve,false,R6,glm-5.2,1,timeout,imputed_behavioral_failure,true,0.0,false,0.0,0.0,false,false,600.000262336,2977,2937,57,0,0,0,0,0,0,0,0,0,0,0,1,0.0,run timed out
wirecodec_preserve,wirecodec,preserve,false,R6,glm-5.2,2,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,126.47480517,2977,2937,57,1569,704,21,124847,107136,17711,14954,139801,10,10,0,1,0.11844836,
wirecodec_preserve,wirecodec,preserve,false,R6,glm-5.2,3,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,true,208.712808963,2977,2937,57,1569,960,20,82846,79680,3166,13631,96477,8,7,0,1,0.08512560000000001,
wirecodec_preserve,wirecodec,preserve,false,R6,minimax-m3,1,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,true,30.64368452,2977,2937,57,1840,1152,37,15990,9600,6390,2953,18943,5,6,0,1,0.0060366000000000005,
wirecodec_preserve,wirecodec,preserve,false,R6,minimax-m3,2,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,true,49.16467096,2977,2937,57,1840,896,46,28026,13696,14330,5409,33435,6,7,0,1,0.011611560000000002,
wirecodec_preserve,wirecodec,preserve,false,R6,minimax-m3,3,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,true,52.429411475,2977,2937,57,1840,896,37,26695,18304,8391,3485,30180,7,8,0,1,0.00779754,
wirecodec_preserve,wirecodec,preserve,false,R6,qwen3.7-max,1,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,false,119.437222308,2977,2937,57,1817,0,642,23221,8320,14901,5929,29150,7,7,1,1,0.0419,
wirecodec_preserve,wirecodec,preserve,false,R6,qwen3.7-max,2,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,false,176.471527657,2977,2937,57,1817,0,616,36664,18816,17848,8904,45568,9,9,1,1,0.058052,
wirecodec_preserve,wirecodec,preserve,false,R6,qwen3.7-max,3,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,106.244934987,2977,2937,57,1817,0,803,22826,8320,14506,5309,28135,7,7,0,1,0.03908125,
wirecodec_reject,wirecodec,reject,false,R6,glm-5.2,1,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,true,114.500106495,2881,2841,57,1546,704,20,57625,25344,32281,12700,70325,7,7,0,1,0.10766284,
wirecodec_reject,wirecodec,reject,false,R6,glm-5.2,2,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,true,215.729535635,2881,2841,57,1546,0,21,133224,79872,53352,16338,149562,10,9,0,1,0.16734672,
wirecodec_reject,wirecodec,reject,false,R6,glm-5.2,3,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,104.075849176,2881,2841,57,1546,0,39,147453,116544,30909,13413,160866,13,12,0,1,0.13259124000000003,
wirecodec_reject,wirecodec,reject,false,R6,minimax-m3,1,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,true,91.788053278,2881,2841,57,1817,0,38,75704,51200,24504,6968,82672,12,13,0,1,0.018784800000000004,
wirecodec_reject,wirecodec,reject,false,R6,minimax-m3,2,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,57.579385487,2881,2841,57,1817,896,46,33075,21120,11955,4244,37319,8,9,0,1,0.0099465,
wirecodec_reject,wirecodec,reject,false,R6,minimax-m3,3,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,69.949241828,2881,2841,57,1817,1152,38,69175,49280,19895,7411,76586,11,13,0,1,0.0178185,
wirecodec_reject,wirecodec,reject,false,R6,qwen3.7-max,1,completed,graded,true,0.8,false,1.0,0.7857142857142857,true,false,139.335423305,2881,2841,57,1793,0,722,23950,8320,15630,6674,30624,7,7,2,1,0.045605,
wirecodec_reject,wirecodec,reject,false,R6,qwen3.7-max,2,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,177.878757957,2881,2841,57,1793,0,908,27650,12544,15106,9217,36867,8,7,0,1,0.05501425,
wirecodec_reject,wirecodec,reject,false,R6,qwen3.7-max,3,completed,graded,true,0.7333333333333333,false,1.0,0.7142857142857143,true,true,220.997013651,2881,2841,57,1793,0,774,53913,29312,24601,11284,65197,12,11,0,1,0.07673025,
